person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
29,51184,OWN,7,HOMEIMPROVEMENT,B,7500,20.27,0,0.15,N,2
44,39422,MORTGAGE,10,EDUCATION,A,25000,17.37,1,0.63,N,8
21,50748,OWN,4,VENTURE,B,30000,19.92,1,0.59,N,5
64,42329,MORTGAGE,0,PERSONAL,F,5000,16.31,1,0.12,Y,29
28,51873,MORTGAGE,1,MEDICAL,C,1000,19.33,0,0.02,N,24
44,71614,MORTGAGE,15,VENTURE,E,20000,8.78,0,0.28,N,22
31,46929,RENT,6,EDUCATION,C,15000,10.53,0,0.32,N,13
37,40750,MORTGAGE,5,DEBTCONSOLIDATION,C,10000,17.05,1,0.25,Y,17
28,27951,MORTGAGE,0,MEDICAL,A,20000,11.79,0,0.72,N,15
55,65485,MORTGAGE,10,MEDICAL,C,15000,18.4,0,0.23,N,24
55,58345,RENT,6,VENTURE,C,5000,19.04,0,0.09,N,11
53,27147,RENT,2,EDUCATION,A,10000,9.8,0,0.37,Y,15
25,74439,MORTGAGE,1,PERSONAL,D,10000,18.18,0,0.13,N,8
62,26927,MORTGAGE,5,HOMEIMPROVEMENT,B,30000,7.47,0,1.11,Y,5
59,82011,OWN,13,VENTURE,C,35000,10.35,1,0.43,N,3
61,69142,RENT,14,PERSONAL,C,30000,13.29,1,0.43,N,25
48,60465,RENT,8,VENTURE,F,25000,8.62,1,0.41,N,19
27,40599,RENT,10,HOMEIMPROVEMENT,A,20000,14.27,1,0.49,N,17
29,65374,MORTGAGE,1,EDUCATION,C,20000,14.26,0,0.31,N,10
28,83967,RENT,7,PERSONAL,C,35000,8.31,0,0.42,N,6
32,65918,OWN,9,MEDICAL,A,5000,17.73,0,0.08,N,10
54,35062,RENT,2,DEBTCONSOLIDATION,D,15000,15.11,1,0.43,Y,26
53,56033,OWN,14,DEBTCONSOLIDATION,B,20000,10.08,0,0.36,N,9
43,86337,MORTGAGE,2,DEBTCONSOLIDATION,A,20000,8.71,0,0.23,N,25
44,147200,OWN,4,HOMEIMPROVEMENT,B,5000,19.06,0,0.03,Y,21
57,44240,RENT,8,MEDICAL,E,20000,18.37,1,0.45,N,17
55,75277,MORTGAGE,8,EDUCATION,A,25000,8.68,0,0.33,N,21
64,86442,RENT,9,MEDICAL,C,15000,5.57,0,0.17,N,19
60,32656,RENT,1,PERSONAL,B,25000,17.87,0,0.77,N,5
42,119496,RENT,13,VENTURE,B,10000,14.85,1,0.08,N,17
47,28779,MORTGAGE,7,DEBTCONSOLIDATION,B,35000,6.61,0,1.22,N,5
55,73459,RENT,6,MEDICAL,C,15000,14.4,0,0.2,N,7
21,57105,OWN,15,PERSONAL,B,20000,12.23,0,0.35,N,4
55,50402,RENT,10,DEBTCONSOLIDATION,A,1000,17.39,0,0.02,N,19
57,175153,RENT,1,MEDICAL,E,3000,8.35,0,0.02,N,16
34,42166,RENT,10,MEDICAL,C,20000,12.25,1,0.47,N,9
23,41828,MORTGAGE,1,VENTURE,B,10000,7.5,0,0.24,N,19
21,95390,RENT,0,PERSONAL,C,15000,20.32,0,0.16,N,25
25,71747,OWN,5,HOMEIMPROVEMENT,A,2000,17.46,0,0.03,N,24
46,93064,MORTGAGE,15,MEDICAL,C,30000,16.79,0,0.32,N,4
34,51970,OWN,2,DEBTCONSOLIDATION,B,25000,16.04,1,0.48,N,7
59,57438,RENT,9,VENTURE,A,5000,11.77,0,0.09,N,23
47,126812,MORTGAGE,2,EDUCATION,B,20000,19.77,0,0.16,Y,27
29,32274,MORTGAGE,10,EDUCATION,B,30000,6.17,0,0.93,N,22
35,46562,OWN,6,MEDICAL,E,20000,17.85,1,0.43,N,25
35,73066,RENT,9,EDUCATION,B,7500,8.44,0,0.1,N,16
46,44447,OWN,2,MEDICAL,A,20000,10.18,0,0.45,Y,28
62,36861,RENT,10,VENTURE,C,5000,13.31,0,0.14,N,13
33,66785,MORTGAGE,15,VENTURE,C,7500,17.52,0,0.11,N,6
52,95597,RENT,9,VENTURE,A,5000,18.42,0,0.05,N,8
59,45687,RENT,6,EDUCATION,B,15000,14.34,0,0.33,N,23
52,45057,RENT,15,VENTURE,B,2000,11.45,0,0.04,N,28
24,35459,OWN,0,PERSONAL,B,35000,20.14,1,0.99,N,16
50,42277,OTHER,10,HOMEIMPROVEMENT,B,7500,8.94,0,0.18,Y,8
57,84271,RENT,14,HOMEIMPROVEMENT,A,5000,17.85,0,0.06,N,14
43,51048,OWN,0,DEBTCONSOLIDATION,D,15000,14.79,1,0.29,N,26
59,32777,MORTGAGE,5,VENTURE,F,7500,11.03,0,0.23,N,4
35,55892,MORTGAGE,2,EDUCATION,D,15000,5.02,0,0.27,N,27
63,82917,RENT,7,EDUCATION,B,10000,12.15,0,0.12,N,24
49,37014,MORTGAGE,8,DEBTCONSOLIDATION,D,3000,9.43,0,0.08,N,14
56,25227,RENT,3,PERSONAL,C,7500,6.67,0,0.3,N,27
33,146592,RENT,5,PERSONAL,E,10000,6.2,0,0.07,N,4
52,24605,MORTGAGE,3,DEBTCONSOLIDATION,D,1000,10.56,1,0.04,Y,3
27,40965,OWN,4,VENTURE,D,25000,14.84,1,0.61,N,29
42,55053,MORTGAGE,2,EDUCATION,B,20000,18.4,1,0.36,N,24
48,42778,OWN,14,MEDICAL,C,20000,7.94,0,0.47,Y,5
22,47218,OWN,0,EDUCATION,B,15000,11.79,0,0.32,Y,18
62,65409,RENT,14,DEBTCONSOLIDATION,A,20000,11.27,0,0.31,N,7
26,14826,RENT,7,PERSONAL,B,35000,13.21,0,2.36,Y,12
48,26018,MORTGAGE,4,HOMEIMPROVEMENT,C,1000,17.95,0,0.04,N,7
48,50117,OWN,10,DEBTCONSOLIDATION,C,1000,13.86,0,0.02,N,23
64,40050,OTHER,6,EDUCATION,F,5000,18.55,0,0.12,N,3
64,52297,MORTGAGE,6,EDUCATION,B,3000,13.3,0,0.06,N,18
40,54930,MORTGAGE,1,PERSONAL,B,5000,14.66,1,0.09,N,4
50,17018,MORTGAGE,5,HOMEIMPROVEMENT,E,20000,12.0,1,1.18,Y,13
31,92671,RENT,3,MEDICAL,F,10000,18.17,0,0.11,N,15
48,38210,RENT,0,DEBTCONSOLIDATION,C,35000,19.78,1,0.92,N,3
45,31800,MORTGAGE,4,MEDICAL,A,5000,15.23,0,0.16,N,23
59,54403,OWN,1,MEDICAL,C,7500,18.13,0,0.14,N,29
53,51718,OWN,3,HOMEIMPROVEMENT,A,35000,5.94,0,0.68,N,23
21,89174,RENT,1,EDUCATION,E,30000,19.5,1,0.34,N,6
47,56158,MORTGAGE,1,VENTURE,D,15000,8.02,0,0.27,N,11
33,87470,OWN,2,EDUCATION,B,15000,9.1,0,0.17,N,11
61,30666,MORTGAGE,15,DEBTCONSOLIDATION,E,30000,5.85,0,0.98,N,22
23,52624,RENT,0,DEBTCONSOLIDATION,D,15000,20.45,1,0.29,N,10
59,28074,MORTGAGE,8,HOMEIMPROVEMENT,F,5000,18.63,0,0.18,Y,22
26,51474,MORTGAGE,1,EDUCATION,F,30000,19.61,1,0.58,N,14
28,46298,MORTGAGE,15,EDUCATION,A,15000,18.56,0,0.32,N,11
47,45313,MORTGAGE,1,PERSONAL,A,3000,12.67,1,0.07,Y,7
29,45512,OWN,15,MEDICAL,C,15000,19.79,0,0.33,N,12
57,70841,RENT,8,VENTURE,F,10000,20.51,1,0.14,N,5
53,21945,RENT,0,PERSONAL,F,30000,13.04,0,1.37,N,27
62,31260,MORTGAGE,15,EDUCATION,C,3000,7.81,0,0.1,N,15
64,48036,RENT,6,DEBTCONSOLIDATION,B,30000,15.54,1,0.62,N,18
44,27191,OWN,3,DEBTCONSOLIDATION,B,15000,20.61,0,0.55,N,21
35,50164,RENT,10,HOMEIMPROVEMENT,D,10000,18.95,0,0.2,Y,3
52,47790,MORTGAGE,15,PERSONAL,C,3000,18.79,0,0.06,N,11
52,24297,OWN,6,MEDICAL,C,25000,19.94,1,1.03,N,4
44,23704,RENT,4,EDUCATION,C,35000,19.3,1,1.48,N,8
61,13201,OWN,11,EDUCATION,D,10000,17.42,1,0.76,N,8
32,26626,MORTGAGE,9,MEDICAL,E,5000,16.49,1,0.19,Y,2
59,49373,RENT,14,HOMEIMPROVEMENT,B,15000,9.24,0,0.3,N,9
22,53002,OWN,9,EDUCATION,B,25000,14.94,1,0.47,N,24
23,54227,RENT,3,MEDICAL,D,1000,13.34,0,0.02,N,2
57,33224,MORTGAGE,15,EDUCATION,E,20000,18.79,1,0.6,N,9
37,48574,RENT,1,MEDICAL,B,20000,12.87,1,0.41,N,15
22,59791,RENT,3,EDUCATION,B,7500,7.04,0,0.13,Y,15
22,26003,OWN,6,PERSONAL,B,10000,5.08,1,0.38,Y,3
48,52138,MORTGAGE,7,PERSONAL,B,5000,15.85,0,0.1,N,9
43,68066,RENT,0,EDUCATION,A,25000,13.8,1,0.37,N,20
57,38353,MORTGAGE,11,EDUCATION,C,20000,10.3,0,0.52,N,11
52,83376,MORTGAGE,4,VENTURE,B,15000,7.7,0,0.18,Y,8
53,38804,OWN,5,PERSONAL,C,10000,12.47,0,0.26,N,14
21,31887,MORTGAGE,12,EDUCATION,A,7500,6.6,0,0.24,Y,23
39,64758,OWN,4,HOMEIMPROVEMENT,A,30000,10.38,0,0.46,N,22
22,135489,MORTGAGE,0,PERSONAL,C,10000,11.07,0,0.07,N,16
64,51158,MORTGAGE,2,VENTURE,C,15000,12.45,0,0.29,Y,12
46,67336,OWN,15,HOMEIMPROVEMENT,B,15000,12.47,0,0.22,N,27
52,38011,RENT,0,PERSONAL,E,10000,9.11,0,0.26,N,15
26,26349,RENT,4,DEBTCONSOLIDATION,B,5000,18.6,0,0.19,N,12
52,53270,RENT,6,HOMEIMPROVEMENT,B,3000,10.69,0,0.06,Y,3
24,57653,RENT,6,EDUCATION,C,2000,8.67,0,0.03,N,3
31,40988,RENT,0,HOMEIMPROVEMENT,E,25000,7.81,1,0.61,N,13
37,67206,MORTGAGE,6,EDUCATION,C,5000,10.16,0,0.07,Y,16
58,35346,MORTGAGE,5,MEDICAL,B,2000,6.08,0,0.06,N,18
44,31224,RENT,15,DEBTCONSOLIDATION,C,25000,5.53,0,0.8,N,15
25,83309,RENT,2,HOMEIMPROVEMENT,B,3000,14.68,0,0.04,N,26
54,83506,RENT,4,VENTURE,D,20000,14.91,0,0.24,N,17
26,35697,RENT,5,EDUCATION,B,7500,13.47,0,0.21,N,28
42,115777,MORTGAGE,5,PERSONAL,E,3000,17.2,0,0.03,N,9
31,42465,RENT,9,VENTURE,B,10000,5.63,0,0.24,N,25
36,51143,OWN,2,MEDICAL,F,1000,19.98,0,0.02,N,18
53,46989,RENT,2,HOMEIMPROVEMENT,B,30000,6.52,0,0.64,N,6
29,63696,OWN,10,MEDICAL,E,15000,15.78,0,0.24,N,13
26,56146,RENT,6,MEDICAL,B,3000,7.13,0,0.05,N,7
36,55769,MORTGAGE,5,EDUCATION,B,5000,19.08,0,0.09,N,19
49,29443,MORTGAGE,2,MEDICAL,B,10000,13.17,0,0.34,Y,27
23,21072,OWN,2,VENTURE,E,5000,6.32,0,0.24,N,6
40,86775,MORTGAGE,0,MEDICAL,B,7500,14.87,0,0.09,N,7
56,37319,OWN,1,DEBTCONSOLIDATION,B,15000,5.15,1,0.4,Y,10
39,47833,MORTGAGE,7,EDUCATION,B,30000,17.42,1,0.63,N,16
46,57722,MORTGAGE,15,PERSONAL,F,10000,15.41,0,0.17,N,11
23,110691,OWN,3,VENTURE,B,25000,8.4,0,0.23,N,18
39,53139,MORTGAGE,4,EDUCATION,B,30000,11.0,0,0.56,N,27
40,40239,MORTGAGE,1,VENTURE,F,5000,5.12,0,0.12,N,20
52,37730,RENT,5,DEBTCONSOLIDATION,E,30000,16.1,0,0.8,N,13
27,48113,OWN,0,VENTURE,B,25000,10.16,0,0.52,N,10
61,31111,MORTGAGE,15,PERSONAL,E,10000,14.15,0,0.32,N,16
53,49733,MORTGAGE,9,DEBTCONSOLIDATION,B,35000,20.31,0,0.7,N,15
60,47762,RENT,15,HOMEIMPROVEMENT,A,7500,9.79,0,0.16,N,2
59,111386,MORTGAGE,14,EDUCATION,E,5000,20.84,1,0.04,Y,18
38,47013,MORTGAGE,6,VENTURE,D,25000,15.12,1,0.53,N,2
60,18727,MORTGAGE,6,EDUCATION,B,10000,8.87,0,0.53,Y,24
21,186606,RENT,2,EDUCATION,A,7500,11.99,0,0.04,N,22
31,79095,RENT,6,MEDICAL,B,3000,16.85,0,0.04,N,23
48,138853,RENT,15,HOMEIMPROVEMENT,D,25000,12.14,0,0.18,N,14
45,27483,MORTGAGE,0,PERSONAL,F,25000,6.1,0,0.91,N,9
43,43874,RENT,14,MEDICAL,B,15000,7.7,0,0.34,N,14
51,68679,MORTGAGE,4,EDUCATION,E,35000,17.66,1,0.51,Y,17
50,64099,MORTGAGE,15,HOMEIMPROVEMENT,B,7500,15.37,0,0.12,N,3
62,57151,OWN,15,MEDICAL,D,5000,14.12,0,0.09,N,14
55,16320,RENT,9,MEDICAL,A,20000,7.68,1,1.23,N,19
27,20822,RENT,9,DEBTCONSOLIDATION,C,25000,18.4,1,1.2,N,4
36,104690,MORTGAGE,5,VENTURE,B,5000,20.37,0,0.05,N,14
46,114423,MORTGAGE,13,EDUCATION,F,2000,5.65,0,0.02,Y,20
22,46475,RENT,15,PERSONAL,B,30000,6.25,0,0.65,Y,14
21,98244,OWN,11,HOMEIMPROVEMENT,B,35000,19.16,1,0.36,N,20
32,29389,MORTGAGE,8,HOMEIMPROVEMENT,E,20000,18.05,1,0.68,Y,5
25,32951,RENT,8,EDUCATION,C,7500,14.89,0,0.23,N,20
57,28250,RENT,13,MEDICAL,B,35000,20.12,1,1.24,N,19
52,32049,OWN,7,EDUCATION,C,30000,15.34,1,0.94,Y,26
29,70357,RENT,12,PERSONAL,E,15000,8.46,1,0.21,N,7
61,31850,RENT,6,DEBTCONSOLIDATION,C,30000,16.66,1,0.94,N,20
55,150222,RENT,0,MEDICAL,A,30000,15.33,0,0.2,Y,26
39,61699,MORTGAGE,5,DEBTCONSOLIDATION,B,35000,20.77,0,0.57,N,5
36,84310,OWN,5,VENTURE,F,30000,8.42,0,0.36,N,5
23,62628,RENT,1,DEBTCONSOLIDATION,A,20000,14.57,0,0.32,N,25
40,89961,RENT,1,HOMEIMPROVEMENT,C,20000,17.48,1,0.22,N,8
44,31761,RENT,7,PERSONAL,D,15000,10.42,1,0.47,N,8
53,101059,MORTGAGE,1,MEDICAL,A,20000,11.07,0,0.2,N,27
44,52599,RENT,3,VENTURE,B,25000,19.21,0,0.48,N,24
31,89736,OWN,10,DEBTCONSOLIDATION,F,35000,11.47,1,0.39,N,27
28,23866,RENT,15,EDUCATION,A,15000,15.0,0,0.63,N,17
56,53652,RENT,10,DEBTCONSOLIDATION,D,15000,19.23,0,0.28,Y,28
58,52713,RENT,15,EDUCATION,E,10000,8.36,0,0.19,N,17
60,35967,OWN,9,EDUCATION,B,20000,20.71,1,0.56,N,6
40,57328,MORTGAGE,3,EDUCATION,B,20000,16.23,0,0.35,N,16
55,105852,OWN,9,HOMEIMPROVEMENT,E,1000,12.94,0,0.01,N,24
45,34610,RENT,9,PERSONAL,D,15000,11.89,0,0.43,N,5
55,79294,RENT,4,EDUCATION,A,2000,20.27,0,0.03,N,25
45,27897,MORTGAGE,0,HOMEIMPROVEMENT,B,1000,8.29,0,0.04,N,26
49,140747,MORTGAGE,9,DEBTCONSOLIDATION,D,25000,9.99,0,0.18,N,14
38,72569,MORTGAGE,0,DEBTCONSOLIDATION,C,5000,9.92,0,0.07,N,29
38,116140,RENT,8,MEDICAL,C,10000,9.62,0,0.09,Y,20
22,68598,RENT,2,EDUCATION,F,2000,12.5,0,0.03,N,8
55,59593,RENT,7,PERSONAL,C,3000,20.83,0,0.05,N,13
36,72872,MORTGAGE,6,DEBTCONSOLIDATION,E,25000,19.22,0,0.34,N,27
61,45787,MORTGAGE,0,VENTURE,D,15000,10.25,0,0.33,N,10
56,21830,OWN,4,VENTURE,A,30000,11.77,0,1.37,N,18
53,61310,RENT,8,DEBTCONSOLIDATION,D,10000,15.71,1,0.16,Y,3
24,33598,OWN,13,MEDICAL,C,7500,5.27,0,0.22,Y,17
53,28259,RENT,14,VENTURE,B,10000,18.12,0,0.35,N,8
34,67382,RENT,6,PERSONAL,B,25000,19.08,1,0.37,N,19
41,42635,OWN,10,EDUCATION,C,15000,18.72,0,0.35,N,8
40,81948,MORTGAGE,4,MEDICAL,C,35000,11.0,0,0.43,N,2
28,33041,MORTGAGE,4,DEBTCONSOLIDATION,F,20000,12.39,1,0.61,N,4
27,38738,MORTGAGE,2,HOMEIMPROVEMENT,E,15000,5.2,0,0.39,N,22
23,87129,RENT,7,MEDICAL,B,25000,11.39,0,0.29,N,29
37,56382,MORTGAGE,4,EDUCATION,D,35000,12.37,1,0.62,N,12
53,23419,OWN,1,EDUCATION,A,10000,19.51,1,0.43,N,23
32,55763,RENT,9,HOMEIMPROVEMENT,A,5000,19.3,1,0.09,N,16
42,102808,MORTGAGE,9,VENTURE,B,20000,20.46,0,0.19,N,26
42,38588,MORTGAGE,4,HOMEIMPROVEMENT,C,15000,19.16,0,0.39,N,26
50,66106,RENT,0,DEBTCONSOLIDATION,B,35000,5.13,0,0.53,N,4
58,32058,RENT,5,MEDICAL,B,15000,15.26,1,0.47,N,25
58,45780,RENT,5,EDUCATION,B,2000,6.09,0,0.04,N,14
28,84534,MORTGAGE,9,PERSONAL,B,35000,9.36,0,0.41,N,5
47,54699,OWN,4,EDUCATION,F,30000,14.25,1,0.55,N,24
47,93398,MORTGAGE,9,EDUCATION,F,3000,16.21,1,0.03,N,23
54,60636,RENT,14,MEDICAL,D,35000,15.47,1,0.58,N,9
41,148652,MORTGAGE,3,VENTURE,C,10000,5.78,0,0.07,N,23
50,22416,OWN,15,PERSONAL,D,10000,6.66,0,0.45,N,5
53,43976,RENT,5,MEDICAL,D,35000,7.06,0,0.8,Y,19
48,28502,OWN,3,VENTURE,D,15000,6.46,1,0.53,N,8
53,29492,MORTGAGE,5,EDUCATION,A,3000,7.85,0,0.1,N,12
25,29626,RENT,1,DEBTCONSOLIDATION,B,10000,16.02,0,0.34,N,28
39,53309,RENT,1,DEBTCONSOLIDATION,B,25000,18.29,1,0.47,N,5
24,54893,MORTGAGE,5,MEDICAL,B,3000,11.54,0,0.05,N,14
55,60701,MORTGAGE,10,VENTURE,B,20000,16.08,0,0.33,N,10
37,27958,OWN,15,PERSONAL,D,20000,8.2,1,0.72,Y,10
64,41684,MORTGAGE,9,EDUCATION,D,10000,20.57,1,0.24,N,24
48,30268,RENT,1,MEDICAL,A,20000,10.6,0,0.66,N,22
50,78271,RENT,9,HOMEIMPROVEMENT,B,30000,18.53,1,0.38,N,20
49,31725,MORTGAGE,8,EDUCATION,D,15000,20.13,1,0.47,Y,4
26,44052,RENT,12,PERSONAL,A,10000,18.84,0,0.23,N,26
55,64870,MORTGAGE,12,DEBTCONSOLIDATION,A,5000,6.07,0,0.08,N,26
61,36032,RENT,14,MEDICAL,E,20000,15.4,1,0.56,N,13
57,69351,RENT,5,MEDICAL,C,30000,6.92,0,0.43,N,12
44,108884,RENT,9,HOMEIMPROVEMENT,E,7500,5.09,0,0.07,Y,21
49,53898,RENT,3,MEDICAL,E,10000,5.83,0,0.19,N,12
51,76941,MORTGAGE,15,VENTURE,E,10000,19.66,1,0.13,N,18
55,17383,RENT,2,DEBTCONSOLIDATION,A,15000,19.54,1,0.86,N,27
53,39556,OWN,0,DEBTCONSOLIDATION,B,5000,8.61,0,0.13,Y,22
41,53768,MORTGAGE,1,HOMEIMPROVEMENT,B,30000,13.75,0,0.56,N,15
52,28955,MORTGAGE,11,DEBTCONSOLIDATION,A,7500,20.28,0,0.26,N,17
43,54383,RENT,5,VENTURE,C,25000,12.95,0,0.46,N,25
53,83280,MORTGAGE,5,HOMEIMPROVEMENT,D,15000,11.3,0,0.18,N,11
23,19153,RENT,15,HOMEIMPROVEMENT,F,20000,12.73,1,1.04,N,5
38,27050,OTHER,15,HOMEIMPROVEMENT,E,3000,17.64,0,0.11,N,11
45,53766,MORTGAGE,4,DEBTCONSOLIDATION,C,25000,12.64,0,0.46,N,27
62,61710,RENT,2,EDUCATION,D,5000,17.53,0,0.08,Y,21
51,70901,MORTGAGE,13,VENTURE,B,3000,11.91,0,0.04,Y,13
23,51815,RENT,15,EDUCATION,C,15000,9.03,0,0.29,Y,10
